_id,Project ID,Planning_ID,Implementation_By,Project,Site_ID,Site_Name,HO_Date,Scope,New_RAT,New_Sector,Approval_Status,Approval_Ref,Blank,Tilt,Azimuth,Antenna_Height,New_RRU_Type,RRU_From,New_BTS_Type,BTS_From,New_Antenna_Type,Antenna_From,Cards_Type_n_From,Battery_count_n_From,Mobitel_Region,Planning_Engineer,On_Air_Target,Planning_Comments,Site_Engineer,Assigned_Date,Special_Tag,Coordinator_Comments,Sub_Contractor,Sub_Contractor_Remarks,Site_Status,Dependency,Responsible,Mobilization_Status,Mobilized_Date,Installation_Status,Installation_Date,Commissioning_Status,Commisioned_Date,SAR_Status,PAT_Status,PAT_Submitted,PAT_Pass_Date,On_Air_Status,On_Air_Date,Last Modified By,Supply_PR_Status,Supply_PR_Number,SAR_Date,SAR_Reference,PAT_Reference,Balance_Material_Returned_Date,Check_List_Verified,Material_Reconciled,Check_List_Submitted,Dependencies_On_Air_Target,Supply_BOQ_Submitted,Supply_BOQ_Approved,Power_Connected_Date,TX_Connected_Date,IMP_PR_Number
639b54bf135f56581322c1fd,62e8ed9f35659d158f2e4feb,202207056,Mobitel Direct,Other Project 2022,GMSEE1,Seeduwa,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,40,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,3/30/2021,N/A,Indika Shantha,1/19/2022,N/A,N/A,L & H,The fiber cable is laid so that difficult to DRFU replace and maintain,PAT Reject,Rectification,Project,Completed,3/2/2022,Completed,3/4/2022,Completed,3/2/2022,Pending,Pass,3/2/2022,3/15/2022,Completed,3/16/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c205,62e8ed9f35659d158f2e4ff3,202207064,Mobitel Direct,Other Project 2022,ZKEL03,Kelaniya_Dialog,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,50,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,4/7/2021,N/A,Himantha Rajapaksha,1/19/2022,N/A,N/A,Assure Solutions,N/A,On Air,N/A,N/A,Completed,3/6/2022,Completed,3/8/2022,Completed,3/6/2022,Approved,Pass,3/9/2022,4/7/2022,Completed,4/7/2022,,,,4/7/2022,,,,,,,,,,,,
639b54bf135f56581322c20a,62e8ed9f35659d158f2e4ff8,202207069,Mobitel Direct,Other Project 2022,ZWAT17,Wattala,1/18/2022,7.L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,15,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,4/12/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,Lack of  e3 cell extension licence,Withdrawn,Approval ,Planning,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c210,62e8ed9f35659d158f2e4ffe,202207075,Mobitel Direct,Other Project 2022,GMHEN1,Henegama,1/18/2022,7.L2100 Activation,Card Installation,TBC,N/A,123,N/A,Existing,Existing,60,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,4/18/2021,N/A,Himantha Rajapaksha,1/19/2022,N/A,N/A,N/A,Installation Pending,Installation Pending,Implementation,Project,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c217,62e8ed9f35659d158f2e5005,202207082,Mobitel Direct,Other Project 2022,GMRAT1,Rathupaswala,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,60,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,4/25/2021,N/A,Indika Shantha,1/19/2022,N/A,N/A,L & H,N/A,On Air,N/A,N/A,Completed,2/14/2022,Completed,2/16/2022,Completed,2/14/2022,Pending,Pass,2/14/2022,2/18/2022,Completed,2/19/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c21b,62e8ed9f35659d158f2e5009,202207086,Mobitel Direct,Other Project 2022,ZBAT14,Thalawathugoda_Junc.,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,27,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,4/29/2021,N/A,Indika Shantha,1/19/2022,N/A,N/A,N/A,PAT Approval Pending,PAT Submitted,Approval ,Operation,Completed,4/29/2022,Completed,5/1/2022,Completed,4/29/2022,Pending,Pending,,,Completed,4/29/2022,Chamara Jayasanka,,,,,,,,,,,,,,,
639b54bf135f56581322c21d,62e8ed9f35659d158f2e500b,202207088,Mobitel Direct,Other Project 2022,ZBIY11,Dekatana,1/18/2022,7.L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,50,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,5/1/2021,N/A,Suranga Gunawardhana,1/19/2022,N/A,N/A,N/A,Installation Pending,Installation Pending,Implementation,Project,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c220,62e8ed9f35659d158f2e500e,202207091,Mobitel Direct,Other Project 2022,ZDEH07,Mt._Laviniya,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,30,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,5/4/2021,N/A,Himantha Rajapaksha,1/19/2022,VIP Capacity Upgrade,N/A,Assure Solutions,N/A,On Air,N/A,N/A,Completed,2/17/2022,Completed,2/19/2022,Completed,2/17/2022,Pending,Pass,2/20/2022,5/7/2022,Completed,2/17/2022,,,,,,,,,,,,,,,,
639b54bf135f56581322c229,62e8ed9f35659d158f2e5017,202207100,Mobitel Direct,Other Project 2022,ZHOM56,Homagama_3,1/18/2022,7.L2100 Activation,Card Installation,TBC,N/A,123,N/A,Existing,Existing,50,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,5/13/2021,N/A,Mohamed Imran,1/19/2022,N/A,N/A,N/A,Lack of  e3 cell extension licence,Withdrawn,Approval ,Planning,Pending,,Pending,,Pending,,Pending,Pending,,,Pending,,,,,,,,,,,,,,,,,
639b54bf135f56581322c22b,62e8edb735659d158f2e501f,202207102,Mobitel Direct,Other Project 2022,ZJAL06,Nagoda	_Kandana,1/18/2022,L2100 Activation,BBU Merge + BB Card Add,TBC,N/A,123,N/A,Existing,Existing,27,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Nuwan W,5/15/2021,N/A,Himantha Rajapaksha,1/19/2022,N/A,N/A,Assure Solutions,N/A,On Air,N/A,N/A,Completed,2/16/2022,Completed,2/18/2022,Completed,2/16/2022,Approved,Pass,2/19/2022,3/6/2022,Completed,3/6/2022,,,,2/2/2022,,,,,,,,,,,,
